dataset_file,algorithm,total_abstracts,total_relevant,total_relevant_in_screening_set,training_size,training_relevant,training_prevalence_estimate,band_selected_by_estimate,selected_screening_cost,selected_recall,selected_all_keys_found,A_screening_cost,A_recall,A_all_keys_found,A_stopped_by_breakout,A_data_cut_met_without_all_keys,A_sensitivity_gain_from_keys,A_keys_missing_at_data_cut,B_screening_cost,B_recall,B_all_keys_found,B_stopped_by_breakout,B_data_cut_met_without_all_keys,B_sensitivity_gain_from_keys,B_keys_missing_at_data_cut,C_screening_cost,C_recall,C_all_keys_found,C_stopped_by_breakout,C_data_cut_met_without_all_keys,C_sensitivity_gain_from_keys,C_keys_missing_at_data_cut
19_Tarantinoetal__2022__training_66_seed547_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,97,1,0.04,A,0.4512,1.0,True,0.4512,1.0,True,False,False,,0.0,0.368,1.0,True,False,False,,0.0,0.304,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_67_seed9936_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,93,1,0.08,B,0.3696,1.0,True,0.448,1.0,True,False,False,,0.0,0.3696,1.0,True,False,False,,0.0,0.2768,0.9428571428571428,True,False,False,,0
19_Tarantinoetal__2022__training_68_seed2154_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,95,1,0.06,B,0.3648,1.0,True,0.4464,1.0,True,True,False,,,0.3648,1.0,True,False,False,,0.0,0.2944,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_69_seed1477_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,95,1,0.06,B,0.3728,1.0,True,0.4496,1.0,True,False,False,,0.0,0.3728,1.0,True,False,False,,0.0,0.304,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_70_seed4836_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,98,1,0.03,A,0.448,1.0,True,0.448,1.0,True,True,False,,,0.368,1.0,True,False,False,,0.0,0.3024,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_71_seed5353_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,95,1,0.06,B,0.3648,1.0,True,0.4432,1.0,True,True,False,,,0.3648,1.0,True,False,False,,0.0,0.3408,1.0,True,False,True,0.02857142857142857,1
19_Tarantinoetal__2022__training_72_seed9080_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,96,1,0.05,A,0.4496,1.0,True,0.4496,1.0,True,True,False,,,0.3664,1.0,True,False,False,,0.0,0.2944,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_73_seed2878_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,96,1,0.05,A,0.4512,1.0,True,0.4512,1.0,True,False,False,,0.0,0.3696,1.0,True,False,False,,0.0,0.2816,0.9428571428571428,True,False,False,,0
19_Tarantinoetal__2022__training_74_seed3290_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,94,1,0.07,B,0.368,1.0,True,0.448,1.0,True,False,False,,0.0,0.368,1.0,True,False,False,,0.0,0.2944,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_75_seed2166_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,97,1,0.04,A,0.4512,1.0,True,0.4512,1.0,True,False,False,,0.0,0.3696,1.0,True,False,False,,0.0,0.2832,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_76_seed9385_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,92,1,0.09,B,0.3616,1.0,True,0.4464,1.0,True,False,False,,0.0,0.3616,1.0,True,False,False,,0.0,0.2976,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_77_seed5995_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,94,1,0.07,B,0.3728,1.0,True,0.448,1.0,True,False,False,,0.0,0.3728,1.0,True,False,False,,0.0,0.304,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_78_seed8698_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,97,1,0.04,A,0.4512,1.0,True,0.4512,1.0,True,False,False,,0.0,0.3232,0.9714285714285714,True,True,False,,,0.2832,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_79_seed8222_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,95,1,0.06,B,0.3728,1.0,True,0.4496,1.0,True,False,False,,0.0,0.3728,1.0,True,False,False,,0.0,0.2896,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_80_seed4466_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,95,1,0.06,B,0.3696,1.0,True,0.4496,1.0,True,False,False,,0.0,0.3696,1.0,True,False,False,,0.0,0.304,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_81_seed2696_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,97,1,0.04,A,0.4512,1.0,True,0.4512,1.0,True,False,False,,0.0,0.368,1.0,True,False,False,,0.0,0.2832,0.9428571428571428,True,False,False,,0
19_Tarantinoetal__2022__training_82_seed4211_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,97,1,0.04,A,0.4512,1.0,True,0.4512,1.0,True,False,False,,0.0,0.376,1.0,True,False,False,,0.0,0.2832,0.9428571428571428,True,False,False,,0
19_Tarantinoetal__2022__training_83_seed7895_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,97,1,0.04,A,0.4512,1.0,True,0.4512,1.0,True,False,False,,0.0,0.3728,1.0,True,False,False,,0.0,0.3056,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_84_seed8931_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,97,1,0.04,A,0.4176,1.0,True,0.4176,1.0,True,True,False,,,0.3664,1.0,True,False,False,,0.0,0.2832,0.9714285714285714,True,False,False,,0
19_Tarantinoetal__2022__training_85_seed5550_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,89,1,0.12,C,0.3504,1.0,True,0.4432,1.0,True,False,False,,0.0,0.3664,1.0,True,False,False,,0.0,0.3504,1.0,True,False,True,0.05714285714285714,2
19_Tarantinoetal__2022__training_86_seed1887_LR_SBERT_complete_results_key1.csv,LR_SBERT,625,35,34,95,1,0.06,B,0.3648,1.0,True,0.448,1.0,True,True,False,,,0.3648,1.0,True,False,False,,0.0,0.3456,1.0,True,False,True,0.02857142857142857,1
